service;origin;destiny;color
101;RECOLETA;CERRILLOS;#FFC107
102;(M) LAS REJAS;MALL PLAZA TOBALABA;#FFC107
103;PROVIDENCIA;SAN JOAQUIN;#F58220
104;PROVIDENCIA;MALL PLAZA TOBALABA;#FFC107
105;RENCA;LO ESPEJO;#ED1C24
105c;LO VALLEDOR;LO ESPEJO;#ED1C24
106;NUEVA SAN MARTIN;PEñALOLEN;#FFC107
107;CIUDAD EMPRESARIAL;AV. DEPARTAMENTAL;#F58220
107c;CIUDAD EMPRESARIAL;PLAZA RENCA;#F58220
108;MAIPU;LA FLORIDA;#FFC107
109;RENCA;MAIPU;#00929E
109N;(M) QUINTA NORMAL;MAIPU;#00929E
110;RENCA;MAIPU;#00929E
110c;RENCA;PUDAHUEL SUR;#00929E
111;(M) PAJARITOS;CIUDAD SATELITE;#00A77E
113;CIUDAD SATELITE;(M) LOS HEROES;#00A77E
113c;(M) CERRILLOS;CIUDAD SATELITE;#00A77E
113e;CIUDAD SATELITE;(M) LOS HEROES;#00A77E
114;(M) ÑUñOA;MALL PLAZA TOBALABA;#FFC107
115;VILLA EL ABRAZO;(M) LOS HEROES;#00929E
115c;VILLA EL ABRAZO; (M) CERRILLOS;#00929E
116;HUECHURABA;SANTIAGO CENTRO;#ED1C24
117;(M) VESPUCIO NORTE;SAN JOAQUIN;#F58220
117c;HUECHURABA;PROVIDENCIA;#F58220
118;MAIPU;LA FLORIDA;#00929E
119;MAPOCHO;LO ESPEJO;#00A77E
120;RENCA;(M) LA CISTERNA;#ED1C24
121;MAPOCHO;LO ESPEJO;#00A77E
125;(M) U. DE CHILE;LO ESPEJO;#00A77E
126;(M) MANUEL MONTT;LA HIGUERA;#00A77E
201;MALL PLAZA NORTE;SAN BERNARDO;#0951BC
201e;(M) SANTA ANA;SAN BERNARDO;#0951BC
203;AV.RECOLETA;LA PINTANA;#0951BC
203N;LA PINTANA;HUECHURABA;#0951BC
203c;LA GRANJA;LA PINTANA;#0951BC
203e;CENTRO;LA PINTANA;#0951BC
204;ALAMEDA;GABRIELA;#0951BC
204N;ALAMEDA;GABRIELA;#0951BC
204e;ALAMEDA;GABRIELA;#0951BC
205;SANTIAGO;PUENTE ALTO;#0951BC
205c;LA GRANJA;PUENTE ALTO;#0951BC
206;CENTRO;LA PINTANA;#0951BC
206c;(M) BIO BIO;LA PINTANA;#0951BC
207;MAPOCHO;AV. SANTA ROSA;#0951BC
207c;LA GRANJA;AV. SANTA ROSA;#0951BC
207e;MAPOCHO;AV. SANTA ROSA;#0951BC
208;HUECHURABA;CENTRO;#0951BC
208c;HUECHURABA;(M) ZAPADORES;#0951BC
209;ALAMEDA;EL VOLCAN;#0951BC
209c;LA GRANJA;EL VOLCAN;#0951BC
210;ESTACION CENTRAL;PUENTE ALTO;#0951BC
210v;ESTACION CENTRAL;AV. MEXICO;#0951BC
211;LA FLORIDA;NOS;#0951BC
211c;(M) LA CISTERNA;SAN BERNARDO;#0951BC
212;PROVIDENCIA;LA PINTANA;#0951BC
213e;PLAZA ITALIA;PUENTE ALTO;#FFC107
214;SANTA OLGA;LOS LIBERTADORES;#0951BC
216;PABLO DE ROKHA;VITACURA;#0951BC
217e;MAESTRANZA;(M) SANTA ANA;#0951BC
219e;(M) LA CISTERNA;CIUDAD EMPRESARIAL;#0951BC
221e;PUENTE ALTO;MATUCANA;#0951BC
223;SANTIAGO;LO ESPEJO;#0951BC
224;ÑUñOA;GABRIELA;#0951BC
224c;(M) VICENTE VALDES;GABRIELA;#0951BC
225;LAS CONDES;BAHIA CATALINA;#0951BC
226;CENTRO;NONATO COO;#0951BC
227;VILLA FREI;PEDRO AGUIRRE CERDA;#0951BC
228;(M) LA CISTERNA;ANGELMO;#0951BC
229;(M) LA MONEDA;LA PINTANA;#0951BC
230;LOS LIBERTADORES;CENTRO;#0951BC
262N;(M) MACUL;VILLA ESPAñA;#0951BC
264N;PEDRO FONTOVA;SANTO TOMAS;#0951BC
271;SANTIAGO;SAN BERNARDO;#0951BC
272;LOS LIBERTADORES;CIUDAD EMPRESARIAL;#0951BC
301;JUAN ANTONIO RIOS;ANGELMO;#00A77E
301c;(M) LA CISTERNA;ANGELMO;#00A77E
301c2;(M) LA CISTERNA;LO BLANCO ;#00A77E
302;(M) SANTA ANA;LA PINTANA;#00A77E
302N;ALAMEDA;LA PINTANA;#00A77E
302e;(M) LOS HEROES;SAN RAMON;#00A77E
303;QUILICURA;PLAZA ITALIA;#00A77E
303e;QUILICURA;(M) SANTA ANA;#00A77E
307;LO MARCOLETA;PLAZA ITALIA;#00A77E
307c;LO MARCOLETA;(M) LOS LIBERTADORES;#00A77E
307e;RIGOBERTO JARA;PLAZA ITALIA;#00A77E
308;LO MARCOLETA;MAPOCHO;#00A77E
308c;LO MARCOLETA;(M) LOS LIBERTADORES;#00A77E
313e;QUILICURA;ESTACION CENTRAL ;#00A77E
314;LO MARCOLETA;PLAZA ITALIA;#00A77E
314v;EL MAñIO;(M) LOS LIBERTADORES;#00A77E
315c;RIGOBERTO JARA;(M) LOS LIBERTADORES;#00A77E
315e;RIGOBERTO JARA;PLAZA ITALIA;#00A77E
321;(M) LO OVALLE;LO SIERRA;#00A77E
322;(M) BELLAVISTA DE LA FLORIDA ;JARDIN ALTO;#00A77E
323;(M) BELLAVISTA DE LA FLORIDA ;LA LOMA;#00A77E
325;GABRIELA;(M) IRARRAZAVAL;#00A77E
329;MALL FLORIDA CENTER;MALL PLAZA OESTE;#00A77E
345;LO ESPEJO;ALAMEDA;#00A77E
346N;LO ESPEJO;ALAMEDA;#00A77E
348;RINCONADA;(M) LO OVALLE;#00A77E
385;VILLA FRANCIA;FLORIDA CENTER;#00A77E
401;MAIPU;LAS CONDES;#FFC107
401c;(M) ESCUELA MILITAR;LAS CONDES;#F58220
402;PUDAHUEL;CENTRO;#00929E
403;(M) SANTA ANA;LA REINA;#F58220
404;EL DESCANSO;MAPOCHO;#00929E
404c;EL DESCANSO;(M) LAS REJAS;#00929E
405;MAIPU;CANTAGALLO;#FFC107
405c;PLAZA ITALIA;CANTAGALLO;#F58220
406;PUDAHUEL;CANTAGALLO;#00929E
406c;(M) ESCUELA MILITAR;AV. EL RODEO;#F58220
407;ENEA;LAS CONDES;#00929E
408;RENCA;MAPOCHO;#00929E
408e;RENCA;MAPOCHO;#00929E
409;MAPOCHO;PLAZA SAN ENRIQUE;#F58220
410;RENCA;PROVIDENCIA;#ED1C24
410e;RENCA;PROVIDENCIA;#ED1C24
411;PROVIDENCIA;PLAZA SAN ENRIQUE;#F58220
412;ENEA;LA REINA;#00929E
413c;AVENIDA PORTALES;(M) LAS REJAS;#FFC107
414e;(M) PUDAHUEL;LOS TRAPENSES;#00929E
415e;(M) PUDAHUEL;(M) MANQUEHUE;#00929E
417e;MAIPU;(M) MANQUEHUE;#FFC107
418;ENEA;AV. TOBALABA;#00929E
419;VILLA LOS HEROES;PLAZA ITALIA;#FFC107
420e;(M) ESCUELA MILITAR;LO HERMIDA;#F58220
421;MAIPU;SAN CARLOS DE APOQUINDO;#FFC107
422;POB. TENIENTE MERINO;LA REINA;#00929E
422c;POB. TENIENTE MERINO; (M) SAN PABLO;#00929E
423;NUEVA SAN MARTIN;PLAZA ITALIA;#FFC107
424;PUDAHUEL SUR;(M) U. DE CHILE;#00929E
425;RIGOBERTO JARA;LO HERMIDA;#F58220
426;PUDAHUEL;LA DEHESA;#00929E
428;QUILICURA;(M) LA CISTERNA;#F58220
428c;ENEA;(M) LA CISTERNA;#00929E
428e;(M) LOS LIBERTADORES;(M) LA CISTERNA;#F58220
429;LO ECHEVERS;LO HERMIDA;#F58220
429c;QUILICURA;(M) TOBALABA;#F58220
430;QUILICURA;LA DEHESA;#F58220
431c;NUEVA SAN MARTIN; (M) LAS REJAS;#FFC107
432N;MAIPU;LA REINA;#F58220
435;QUILICURA;VITACURA;#F58220
481;PLAZA ITALIA;AVENIDA PORTALES;#FFC107
486;ENEA;(M) SAN PABLO;#00929E
501;(M) PARQUE BUSTAMANT;FLEMING;#00929E
502;CERRO NAVIA;CANTAGALLO;#00929E
502c;CERRO NAVIA;SANTIAGO;#00929E
503;AV. LA ESTRELLA ;VITAL APOQUINDO;#00929E
504;EL TRANQUE;HOSPITAL DIPRECA;#00929E
505;CERRO NAVIA;PEñALOLEN;#00929E
506;MAIPU;PEñALOLEN;#00929E
506e;MAIPU;PEñALOLEN;#00929E
506v;VILLA EL ABRAZO;PEñALOLEN;#00929E
507;ENEA;AV. GRECIA;#00929E
507c;(M) PARQUE O'HIGGINS;PEñALOLEN;#00929E
508;AV. MAPOCHO;AV. LAS TORRES;#00929E
509;MAIPU;MAPOCHO;#00929E
510;PUDAHUEL SUR;RIO CLARO;#00929E
511;CERRO NAVIA;PEñALOLEN;#00929E
513;EL MONTIJO;JOSE ARRIETA;#00929E
514;ENEA;SAN LUIS DE MACUL;#00929E
514c;(M) SALVADOR;AN LUIS DE MACUL;#00929E
516;PUDAHUEL SU;LAS PARCELAS;#00929E
517;J.J.PEREZ ;PEñALOLEN;#00929E
518;J.J. PEREZ;BILBAO;#00929E
519;ALAMEDA;AV.GRECIA;#00929E
541N;EL TRANQUE;COLON;#00929E
546e;VILLA EL ABRAZO;VITACURA;#00929E
712;PUENTE ALTO;RECOLETA;#FFC107
712N;PUENTE ALTO;(M) ESCUELA MILITAR;#FFC107
B01;EL SALTO;HUAMACHUCO;#ED1C24
B02;CAMINO PUNTA MOCHA;ESTACIóN MAPOCHO;#ED1C24
B02N;HUECHURABA;PLAZA ITALIA;#ED1C24
B03;MIRAFLORES;(M) CERRO BLANCO;#ED1C24
B04;EL CORTIJO;MAPOCHO;#ED1C24
B05;BARRIO SAN IGNACIO;CIUDAD EMPRESARIAL;#ED1C24
B06;(M) ZAPADORES;SANTA LAURA;#ED1C24
B07;PARQUE INDUSTRIAL;(M) LOS LIBERTADORES;#ED1C24
B08;LO MARCOLETA;MALL PLAZA NORTE;#ED1C24
B09;LO BOZA;HOSPITAL FELIX BULNES;#ED1C24
B10;VILLA LOS LIBERTADORES;(M) CERRO BLANCO;#ED1C24
B11;EL SALTO;LO MARCOLETA;#ED1C24
B12;(M) ZAPADORES;LO MARCOLETA;#ED1C24
B12c;LO MARCOLETA;(M) LOS LIBERTADORES;#ED1C24
B13;(M) VESPUCIO NORTE;SANTA LUISA;#ED1C24
B14;EL SALTO;MAPOCHO;#ED1C24
B15;ARZOBISPO VALDIVIESO;MAPOCHO;#ED1C24
B16;EL CARMEN;(M) VESPUCIO NORTE;#ED1C24
B17;HUAMACHUCO;AV. ARZOBISPO VALDIVIESO;#ED1C24
B18;VILLA PUCARA;(M) VESPUCIO NORTE;#ED1C24
B18e;VILLA PUCARA;(M) VESPUCIO NORTE;#ED1C24
B19;JUANITA AGUIRRE;EL ROSAL;#ED1C24
B20;MIRAFLORES;MAPOCHO;#ED1C24
B21;PLAZA CHACABUCO;LO MARCOLETA;#ED1C24
B22;PALACIO RIESCO;URMENETA;#ED1C24
B23;REINA MARIA;MAPOCHO;#ED1C24
B24;HUAMACHUCO;MAPOCHO;#ED1C24
B25;(M) VESPUCIO NORTE;(M) CERRO BLANCO;#ED1C24
B26;EL CORTIJO;(M) ESTACION CENTRAL;#ED1C24
B27;(M) VESPUCIO NORTE;(M) SALVADOR;#ED1C24
B28;HUAMACHUCO;(M) ESTACION CENTRAL;#ED1C24
B29;RENCA;(M) SANTA ANA;#ED1C24
B30N;RENCA;CENTRO;#ED1C24
B31N;ALAMEDA;QUILICURA;#ED1C24
B32;VALLE LO CAMPINO;PLAZA DE QUILICURA;#ED1C24
C01;(M) FRANCISCO BILBAO;CERRO 18;#ED1C24
C01c;(M) ESCUELA MILITAR;LA ERMITA;#ED1C24
C02;SAN CARLOS DE APOQUINDO;(M) ESCUELA MILITAR;#ED1C24
C02c;SAN CARLOS DE APOQUINDO;(M) LOS DOMINICOS;#ED1C24
C03;ROTONDA PEREZ ZUKJOVIC;VITAL APOQUINDO;#ED1C24
C03c;LO GALLO;VITAL APOQUINDO;#ED1C24
C05;LA ERMITA;(M) FRANCISCO BILBAO;#ED1C24
C06;VITAL APOQUINDO;CIUDAD EMPRESARIAL;#ED1C24
C06c;VITAL APOQUINDO;(M) COLON;#ED1C24
C07;LA PIRAMIDE;(M) FRANCISCO BILBAO;#ED1C24
C08;CAMINO REAL;CANTAGALLO;#ED1C24
C09;LA DEHESA;NUEVA BILBAO;#ED1C24
C10e;(M) TOBALABA;CAMINO JUAN PABLO II;#ED1C24
C11;(M) ESCUELA MILITAR;TABANCURA;#ED1C24
C12;CAMINO JUAN PABLO II;CANTAGALLO;#ED1C24
C13;CANTAGALLO;LA LAGUNA;#ED1C24
C14;(M) ESCUELA MILITAR;LOS TRAPENSES;#ED1C24
C15;(M) ESCUELA MILITAR;ESTORIL;#ED1C24
C16;VITAL APOQUINDO;EL HUINGANAL;#ED1C24
C17;CERRO 18;LOS TRAPENSES;#ED1C24
C18;(M) ESCUELA MILITAR;CIUDAD EMPRESARIAL;#ED1C24
C19;BERNARDO LARRAIN COTAPOS;CANTAGALLO;#ED1C24
C20;(M) ESCUELA MILITAR;PARQUE ARAUCO;#ED1C24
C22;(M) ESCUELA MILITAR;ROTONDA LO CURRO;#ED1C24
D01;PLAZA EGAñA (M);ANTUPIREN;#F58220
D02;(M) IRARRAZAVAL;ALVARO CASANOVA;#F58220
D03;(M) TOESCA;LAS PARCELAS;#F58220
D03c;(M) PLAZA EGAñA;LAS PARCELAS;#F58220
D05;(M) FRANKLIN;MARIA ANGELICA;#F58220
D07;DIAGONAL LAS TORRES;(M) FRANKLIN;#F58220
