CODIGO;ENTIDAD;NOMBRE FANTASIA;DIRECCION;COMUNA;HORARIO REFERENCIAL;ESTE;NORTE;LONGITUD;LATITUD
424;Fullcarga;EL RINCON DEL GUSTO MAIPU;CERRO BLANCO 0625;MAIPU;;334334;6288064;-70.78489467;-33.53436509
940;Fullcarga;LALITO SN RAMON;URUGUAY 1612;SAN RAMON;;347374;6288474;-70.64443457;-33.53259911
954;Fullcarga;LUIS ARAYA CARVAJAL;TAMARUGOS 3554;RENCA;;342184;6304138;-70.6967945734628;-33.3903495490553
1957;Fullcarga;DON ALEJO LO ESPEJO;AV. SANTA ANITA 7666;LO ESPEJO;;343168;6289947;-70.6886937574691;-33.5184399537654
3256;Fullcarga;LOS PEQUES SN JOAQUIN;CHILOE 264;SAN JOAQUIN;;349332;6290636;-70.62299239;-33.51340381
3316;Fullcarga;NISSY LA PINTANA;JOAQUIN EDWARDS BELLO 10999;LA PINTANA;;349448;6285070;-70.62268808;-33.56360171
9878;Fullcarga;ERICHOPER;LOS RETAMOS 5615;HUECHURABA;;349062;6305684;-70.62318232;-33.37779948
10347;Fullcarga;DON ORLANDO RENCA;ARTURO PRAT 5725 DPTO 11;RENCA;;338912;6302602;-70.73299013;-33.40400045
10489;Fullcarga;NOLBERTO VALDES NAVARRO;CALLE 462  5994;PENALOLEN;;354320;6291989;-70.56833145643716;-33.50171990370461
10767;Fullcarga;BAZAR LA KUKA;AV. RECOLETA 4021;RECOLETA;;347250;6304432;-70.6422992625761;-33.3884287445116
11278;Fullcarga;SUPER OFERTAS SANTIAGO;CARMEN 2263 - A;SANTIAGO;;348110;6295008;-70.63530722;-33.47396145
11352;Fullcarga;LICORES JUAN INAREJO;GONZALO BULNES 2302;QUINTA NORMAL;;342217;6300718;-70.69780225;-33.42147769
11730;Fullcarga;FERRADA GONZALEZ JOSEFINA;CALLE JOSE MIGUEL CARRERA 1001;LA FLORIDA;;353791;6286598;-70.57490277777778;-33.55014138888888
12212;Fullcarga;SOMOS;TALINAY 9753;LA REINA;;357704;6296775;-70.53190641;-33.45919537
12214;Fullcarga;ATEMIS COMPUTACION;GABRIELA PONIENTE 519;PUENTE ALTO;;352713;6283332;-70.58762524;-33.57983789
12547;Fullcarga;JOSE MANUEL NAVARRETE OSSES;RIVERA 179;INDEPENDENCIA;;346076;6300297;-70.6556213958106;-33.4255468198297
14629;Fullcarga;ALMACEN GERUDA LO ESPEJO;CALLE ACAPULCO 8197;LO ESPEJO;;343976;6289472;-70.68083991;-33.52312601
16775;Fullcarga;CARMEN ARANEDA GOMEZ;ENRIQUE VERGARA PINTO 3307;PUENTE ALTO;;355151;6283721;-70.56072166319444;-33.57626677083333
16849;Fullcarga;ALMACEN;CORDILLERA DE LOS ANDES 0145;LA GRANJA;;348557;6287573;-70.6310983333333;-33.5406205555555
17463;Fullcarga;JOSE ANTONIO LUNA RAMIREZ;GUANACO 2485;RECOLETA;;345866;6303083;-70.6579729;-33.4008017
18892;Fullcarga;GABRIEL;INDEPENDENCIA 1896;INDEPENDENCIA;;345722;6302060;-70.65988334;-33.40988614
19915;Fullcarga;SEBASTIAN;ALCALDE LUIS OSORIO 744;PUENTE ALTO;;351459;6280289;-70.6010626388889;-33.60669902777778
22058;Fullcarga;JUANA HUENUN;BARTOLOME DIAZ 563;SAN BERNARDO;;343587;6282561;-70.68548030634682;-33.58508964967516
25744;Fullcarga;MARIA ANGELICA - QUILICURA;MANUEL ANTONIO MATTA 245;QUILICURA;;337929;6307219;-70.74196643939392;-33.361943449494945
39346;Fullcarga;TERESA MICAELA ARAYA ARAYA;RIO MADEIRA 1251;CONCHALI;;345532;6304110;-70.66081525;-33.39109066666666
41202;Fullcarga;MONICA DEL CARMEN MORALES CARES;AV. MEXICO 3708;PUENTE ALTO;;354671;6284458;-70.5663469929415;-33.5699539306027
42224;Fullcarga;LUCIA DE LOS ANGELES FUENTES GONZALEZ;LAGO ROSELOT 1221;PENALOLEN;;356573;6295666;-70.54425098;-33.46904913
50119;Fullcarga;MINIMARKET - PSJE. PAILLACO;PASAJE ESTACION PAILLACO 0396;PUENTE ALTO;;350532;6278740;-70.6118877935446;-33.620933239242845
55659;Fullcarga;CHRIS ;LO CRUZAT 0536;QUILICURA;;339908;6308276;-70.72051728;-33.35270816
56741;Fullcarga;BUSTAMANTE;PASAJE TORTEL 758;ESTACION CENTRAL;;341417;6295016;-70.7066513888888;-33.4724813888888
57920;Fullcarga;EDGAR COSME PORTAL;SAN PABLO 5186;QUINTA NORMAL;;341435;6298488;-70.7065919667437;-33.4414644927552
59136;Fullcarga;LOS ROBLES LA PINTANA;EL ROBLE 13202;LA PINTANA;;347695;6282446;-70.64201139;-33.58700337
59324;Fullcarga;ELENA MINCHAN AMBROSIO;LOMA LARGA 854;LAS CONDES;;357163;6301693;-70.5361847222222;-33.41448888888889
59396;Fullcarga;KIOSKO LAS CARRETAS;LAS CARRETAS S/N;LA REINA;;353350;6299436;-70.578449;-33.431578
59853;Fullcarga;JUANITA;SALVADOR GUTIERREZ 8085;CERRO NAVIA;;337083;6301185;-70.7529148;-33.4164973
60093;Fullcarga;DON VICENTE;BAHIA PENDULO 475;LO PRADO;;340574;6297782;-70.7157983072916;-33.447817109375
60219;Fullcarga;ALMACEN DONDE IVAN;CALLE 17 A 901;PENALOLEN;;355812;6295970;-70.5516327601861;-33.46602302042598
60932;Fullcarga;DAFNE;SIMON BOLIVAR 8288;LA FLORIDA;;354879;6289155;-70.56276626666667;-33.527231533333335
61032;Fullcarga;LA VALE EL BOSQUE;PASAJE LOS ARCE 12278;EL BOSQUE;;343712;6284491;-70.68380735853458;-33.567822914405426
61053;Fullcarga;FREDDY EDISON VALENZUELA RIQUELME;JOSE TORIBIO MEDINA 12331;LA PINTANA;;346798;6283554;-70.6507305562553;-33.57671781285276
61067;Fullcarga;MARIA TERESA;JUAN LUIS SANFUENTES 8463;SAN RAMON;;347323;6288003;-70.6450131207735;-33.5369698874354
61080;Fullcarga;SAN ESTEBAN;RECREO 329-A;ESTACION CENTRAL;;342393;6296654;-70.69585993697999;-33.457857044831776
61391;Fullcarga;SAN ALFONSO SN BERNARDO;CALDERON DE LA BARCA 217;SAN BERNARDO;;343126;6283087;-70.69111827;-33.58056155
62373;Fullcarga;POMPEYITA;LINCON 2099;LO ESPEJO;;344208;6290627;-70.67795612;-33.51286149
62395;Fullcarga;KIOSKO MARIAN LA FLORIDA;CALLE MARIA ELENA S/N ESQ SANTA RAQUEL S/N;LA FLORIDA;;351540;6285261;-70.600016;-33.56222676
62397;Fullcarga;JASE MANUELA CORNEJO PEREZ;SANTA AMALIA 671;LA FLORIDA;;353284;6287339;-70.5809953;-33.54368094
62488;Fullcarga;EL VECINO - LA  PINTANA;PEDRO AGUIRRE CERDA 10994;LA PINTANA;;347917;6285118;-70.6383977150537;-33.5626634946236
62533;Fullcarga;REPUBLICA DOMINICANA;LOS ALAMOS SUR 6989;PUDAHUEL;;339002;6296113;-70.73243946484713;-33.4623445282946
62613;Fullcarga;OASIS - MAIPU II;ALBERTO LLONA 1470;MAIPU;;336935;6290372;-70.7557102;-33.513673600000004
62683;Fullcarga;BAZAR MARY LA FLORIDA;TRINIDAD 995;LA FLORIDA;;351484;6286937;-70.59967951557142;-33.546760320366026
62699;Fullcarga;ANGELICA BEATRIZ BUSTOS RETAMAL;BATALLON CHACABUCO 03340;LA PINTANA;;350201;6282089;-70.61432470954713;-33.59040692459469
62893;Fullcarga;MILON;EL BARRANCON- LO HERRERA S/N;SAN BERNARDO;;338375;6273347;-70.743321;-33.667651
63076;Fullcarga;LOTO;BALMACEDA 347;PUENTE ALTO;;353852;6280034;-70.57531944444445;-33.6093277777778
63356;Fullcarga;MIGUEL AGUILERA;PASAJE QUECHUAS 2009;PENALOLEN;;355338;6294881;-70.55766685;-33.47595427
63396;Fullcarga;PUNTO ARCUICO;ARAUCO 185;SANTIAGO;;348709;6295417;-70.62870143;-33.47031701
63471;Fullcarga;ANITA - LA FLORIDA;LIA AGUIRRE FRENTE AL 149;LA FLORIDA;;351341;6289581;-70.60079640347087;-33.52301696108695
63493;Fullcarga;MONICA PILAR ESPINOZA MARTINEZ;EL SALTO 2911;RECOLETA;;348508;6303141;-70.6289944871794;-33.400252051282
63521;Fullcarga;ROSITA;LO OVALLE 3424;LO ESPEJO;;343318;6291443;-70.6868241087579;-33.5050846561781
63696;Fullcarga;ELLEN MARLENE MOSCOSO GAS;CERRO PARANAL 1765;PUENTE ALTO;;355585;6281805;-70.55635616738475;-33.59360142005146
64030;Fullcarga;GUILLERMINA ESTER;VECINAL NORTE 734;EL BOSQUE;;344726;6283302;-70.6730765471254;-33.57857107027501
64317;Fullcarga;D LLA FRUIT;AV. MANUEL ANTONIO MATTA 1920;QUILICURA;;341293;6306909;-70.7064117593493;-33.3655641126751
64326;Fullcarga;D Y D;CALLE LAGO YELCHO 05211 4;PUENTE ALTO;;354710;6286676;-70.5656938114264;-33.5499736222131
65793;Fullcarga;CAMILA PUDAHUEL;DAGOBERTO GODOY 1080;PUDAHUEL;;337662;6298915;-70.74709686;-33.43705396
65810;Fullcarga;DON JOSE LA FLORIDA;CALLE AZUL 12596;LA FLORIDA;;352732;6284492;-70.58741653;-33.56927015
65915;Fullcarga;L Y L;URMENETA 1009;RECOLETA;;346570;6303847;-70.6502761282051;-33.3940063076923
65966;Fullcarga;MARKITO;MONJA ALFEREZ 4815;SAN MIGUEL;;345709;6292687;-70.66145075;-33.49450266
66005;Fullcarga;ALMACEN CHARLY CHICO;EL CANELO 1074;LA PINTANA;;347386;6282562;-70.6450931803966;-33.5859315758334
66008;Fullcarga;FELIX RIVERA PONCE;BARROS ARANA 1314;SAN BERNARDO;;341976;6280137;-70.7032633333333;-33.6067033333333
66197;Fullcarga;FERNANDA-CHIGUAYANTE;CHIGUAYANTE 915;SAN BERNARDO;;341972;6283467;-70.70272520172391;-33.5767942517638
66220;Fullcarga;LAS PASTORA PTE ALTO;PASAJE DIEGO PORTALES 439;PUENTE ALTO;;352884;6280018;-70.58651322;-33.60963157
66243;Fullcarga;GLADYS;PADRE PALOTINOS 0175 ;SAN BERNARDO;;342404;6278157;-70.69900069444445;-33.624617777777786
66246;Fullcarga;DON BETO;GENERAL SILVA 12202;EL BOSQUE;;345644;6283646;-70.66313081413;-33.575610358146754
66268;Fullcarga;LUIS FERNANDO SILVA ARAVE;AV. RAMON FREIRE 7017 ;PUDAHUEL;;339104;6295497;-70.73218409;-33.46812967
66294;Fullcarga;JUANA DEL CARMEN BARAHONA LEON;PASTORAL 526;HUECHURABA;;348157;6306418;-70.632004;-33.371393
66310;Fullcarga;ISABEL PETRONILA ARCAYA G;CALLE RENE OLIVARES BECERRA 2865;MAIPU;;334059;6287203;-70.7880081;-33.54208479
66322;Fullcarga;PEDRO ESPINOZA;AMBERES 1554;CONCHALI;;344114;6306138;-70.67570723958333;-33.37259682291666
66327;Fullcarga;BOTILLERIA CAROLINA;TENIENTE LUIS CRUZ MARTINEZ 12723;LA PINTANA;;345972;6283318;-70.6596529916666;-33.5786070722222
66330;Fullcarga;SANTA CRISTINA EL BOSQUE;CALLE JUAN ESPEJO 9808;EL BOSQUE;;344023;6286789;-70.680801;-33.547443
66346;Fullcarga;SAN ANDRES - QUINTA NORMAL;SERGIO VALDOVINOS 1285;QUINTA NORMAL;;341386;6298844;-70.7069183442484;-33.4382121791096
66366;Fullcarga;ALMACEN LA ESCALERA SN JO;ALCALDE PEDRO ALARCON 478;SAN JOAQUIN;;348116;6293186;-70.6348931666666;-33.4899533888888
66391;Fullcarga;SALVADOR EUGENIO RETAMAL MENDEZ;CARMEN MENA 331;SAN JOAQUIN;;348876;6291058;-70.62764938;-33.50964032
66420;Fullcarga;COM GONZALEZ CERRO NAVIA;AV. SALVADOR GUTIERREZ 8009;CERRO NAVIA;;337294;6301165;-70.75065131;-33.41671244
66429;Fullcarga;ALMACEN C Y S;TONGOY 1123;LA PINTANA;;347479;6283061;-70.6434697619047;-33.5811475396825
66448;Fullcarga;JUAN - CERRO NAVIA;HECTOR AHUMADA 1984;CERRO NAVIA;;339262;6300918;-70.72934523;-33.41934605
66460;Fullcarga;EL FAROLITO MAIPU;PASAJE GRUMETE PEREZ 2129;MAIPU;;334931;6287473;-70.77857035;-33.53978841
66463;Fullcarga;ISABEL C CISTERNAS MATURA;AV. VICUNA MACKENNA PONIENTE 9705 B;LA FLORIDA;;352496;6287108;-70.58876459298325;-33.54536061855202
66468;Fullcarga;SANTA TERESA;3 PONIENTE 0342;MAIPU;;335402;6288194;-70.7726081558051;-33.5330709393052
66527;Fullcarga;CIBER ACTION;LO CRUZAT 0472;QUILICURA;;339908;6308104;-70.72055132777673;-33.35425734950343
67259;Fullcarga;KAREN - SAN RAMON;SAN FRANCISCO 9134;SAN RAMON;;346683;6287332;-70.651307117117;-33.5425198198198
67320;Fullcarga;NANCY;ESPERANZA 1260;SANTIAGO;;344187;6299710;-70.6766055;-33.4309696111111
67554;Fullcarga;EL NEGRITO RENCA;AV. JOSE MIGUEL INFANTE 5650;RENCA;;339051;6302229;-70.72703411;-33.40662805
68345;Fullcarga;FERNANDA;ANTONIO DE AZOCAR 733;SAN BERNARDO;;344010;6282716;-70.68089337886124;-33.583753994622924
68357;Fullcarga;LOS 121 LO ESPEJO;CALLE LUCILA GODOY 2360;LO ESPEJO;;343805;6290320;-70.6817731034482;-33.515172183908
68367;Fullcarga;LENNY;RIO MALLECO 747;QUILICURA;;336322;6307403;-70.7597808222442;-33.3604366295564
69401;Fullcarga;ALMACEN Y BAZAR;PLAZA DE ARMAS 2791;LA PINTANA;;349379;6281729;-70.623233;-33.593425
69429;Fullcarga;LEOCRISMA;UMBRAL 2184;PENALOLEN;;358245;6294238;-70.52573035387469;-33.481972554307156
69771;Fullcarga;SAN RICARDO LA PINTANA;CALLE EL QUILLAY 1108;LA PINTANA;;347514;6282535;-70.64381;-33.586321
70311;Fullcarga;LUAN RENCA;RAUL OLIVARES 1872;RENCA;;338105;6303363;-70.74153056;-33.39701578
70889;Fullcarga;SHELL CHILE - CONCHALI;MONTERREY 2987;CONCHALI;;343552;6303019;-70.6828574873272;-33.4010427966556
70902;Fullcarga;SHELL CHILE - MACUL;AV. JOSE PEDRO ALESSANDRI 1135;MACUL;;351475;6296034;-70.59885261;-33.46513991
70945;Fullcarga;SHELL CHILE - STA. ELENA;SANTA ELENA  ESQ. AV. A. VESPUCIO 1077;MAIPU;;337003;6294214;-70.754290;-33.479164
70947;Fullcarga;SHELL CHILE - FARELLONES;AV. FARELLONES 14380;LO BARNECHEA;;360722;6307039;-70.49709739544674;-33.36687185051367
71018;Fullcarga;SHELL CHILE -LA FLORIDA;AV. VICUÑA MACKENNA 9840;LA FLORIDA;;352617;6286976;-70.5880525296785;-33.5469704357368
71026;Fullcarga;SHELL CHILE - RINCONADA;CAMINO RINCONADA / AV. OLIMPO 1266;MAIPU;;335165;6289926;-70.7754154565163;-33.5178176140173
71511;Fullcarga;CLAUDIA URRUTIA;ESMERALDA 6349;PENALOLEN;;354040;6294302;-70.57096293333333;-33.48071453333333
71746;Fullcarga;MAVI;LOS HALCONES 10916;LA PINTANA;;346696;6285388;-70.65207632;-33.56044913
71749;Fullcarga;C Y C - PUENTE ALTO;AV. CONCHA Y TORO 3954;PUENTE ALTO;;353037;6284134;-70.58343192835513;-33.57236218079619
72432;Fullcarga;ROSA ESTER HERRERA ;LAS ZINNIAS 5637;HUECHURABA;;349392;6305467;-70.6196758172121;-33.3798054074617
72444;Fullcarga;BAZAR ARIEL LO ESPEJO;PASAJE 25 6504;LO ESPEJO;;344570;6290834;-70.6734560483028;-33.5107587165928
72741;Fullcarga;EL BICHITO MAIPU;CALLE LA CANDELARIA 2509;MAIPU;;333679;6290664;-70.79147819;-33.5108498
72847;Fullcarga;KEVIN;CHACABUCO 902;SANTIAGO;;343932;6299319;-70.6794191989063;-33.43445230004
72860;Fullcarga;VILUM MARKET;MAMA KRISTINA 1680;CERRO NAVIA;;337496;6300125;-70.74787659;-33.42583143
73750;Fullcarga;SHELL CHILE - LAS CONDES;GENERAL BLANCHE 11860;LAS CONDES;;358999;6303059;-70.5168017777428;-33.4028162868279
73751;Fullcarga;SHELL CHILE - LO BARNECHEA;COMANDANTE MALBEC 13506;LO BARNECHEA;;359527;6308201;-70.510327584257;-33.3565302577364
73752;Fullcarga;SHELL CHILE - VITACURA/SAN FELIX;VITACURA/SAN FELIX 7721;VITACURA;;354947;6304780;-70.5600831350285;-33.3867617219757
73872;Fullcarga;ANITA - PEDRO A. CERDA;MAIPU 6311;PEDRO A. CERDA;;343537;6291547;-70.6844407312925;-33.5040707551021
74742;Fullcarga;CHRISTMEL;MADRID 1499;SANTIAGO;;348164;6296079;-70.63388092592592;-33.46387518518519
75942;Fullcarga;ANGELES;AV. MANUEL ANTONIO MATTA 246;QUILICURA;;337903;6307184;-70.74225194444443;-33.362252361111125
76073;Fullcarga;EL TALENTO QUILICURA;EL EBANO 1019;QUILICURA;;340098;6308208;-70.71850486180655;-33.35345803827709
78065;Fullcarga;LAS ROSAS;SAN PEDRO NOLASCO 1803;SAN BERNARDO;;345297;6282102;-70.66714196969697;-33.58947555555556
78353;Fullcarga;SAN JORGE;MANUEL MONTT 424;PROVIDENCIA;;349643;6299636;-70.6179468454762;-33.4324141854762
78875;Fullcarga;SHELL CHILE - CRISTOBAL COLON;AV. CRISTOBAL COLON 4359;LAS CONDES;;353173;6300660;-70.5798304278255;-33.4236650598888
78920;Fullcarga;PATRICIA;LIBERTADOR BERNARDO OHIGGINS 3410;ESTACION CENTRAL;;343737;6297347;-70.68128983742173;-33.45191760202692
79105;Fullcarga;BAZAR CLAUDIA;REY DON FELIPE 1251;LA PINTANA;;347833;6283449;-70.6395907843137;-33.5776975735294
79212;Fullcarga;EL OSITO;EL CONQUISTADOR 140;MAIPU;;333183;6288868;-70.79710006;-33.52710767
79246;Fullcarga;EL TAMBO;LOS RAULIES 11461;EL BOSQUE;;345259;6284400;-70.66715409090911;-33.56875636363637
79247;Fullcarga;LAS PRINCESITAS;JOSE MANUEL BALMACEDA 1252;LA PINTANA;;347897;6283364;-70.6395078648141;-33.5787773964072
79298;Fullcarga;LEINA ANDRAWES BOULES HEJAZEEN;HERNANDO DE MAGALLANES 872;LAS CONDES;;355079;6301608;-70.55936936;-33.41527122
79356;Fullcarga;SHELL CHILE - BILBAO;AV. FRANCISCO BILBAO 3785;PROVIDENCIA;;352697;6299722;-70.5850936994415;-33.4320620648256
79358;Fullcarga;SHELL CHILE - LO AGUIRRE;RUTA 68 19219;PUDAHUEL;;328134;6298334;-70.848678;-33.440470
79436;Fullcarga;MI PAN;FUTALEUFU 10181;SAN RAMON;;347120;6286137;-70.64757699;-33.55365123
79467;Fullcarga;EL DROOPY;VICTORIA 3266;MAIPU;;335674;6292185;-70.7689458535552;-33.4971336199571
79567;Fullcarga;ANITA - SAN MIGUEL;MARIA AUXILIADORA 702;SAN MIGUEL;;347593;6293255;-70.6410821428571;-33.4896497619048
79576;Fullcarga;VINDRIS;FREIRE 695;SAN BERNARDO;;341784;6281312;-70.70512298245616;-33.59607815789472
79660;Fullcarga;ARIAS MARKET;VICUÑA MACKENA 1333-B;SANTIAGO;;348631;6296559;-70.6287738157861;-33.459616264294
79763;Fullcarga;SAN VICENTE;AV.JULIO COVARRUBIAS 10092;EL BOSQUE;;345880;6286006;-70.6608313682667;-33.5548048709251
79827;Fullcarga;JENNY ALVAREZ FUENTES;AV. CENTRAL CARD. SILVA HENRIQUEZ 4635;PEDRO A. CERDA;;343350;6292599;-70.686703;-33.494825
79964;Fullcarga;LA COTE;TENIENTE CRUZ 1494;CERRO NAVIA;;338319;6300208;-70.739746;-33.425554
80013;Fullcarga;EL GRIFO;CHIPANA 555 DEPTO A-11;QUILICURA;;337055;6306763;-70.75143984848482;-33.36591558441559
80014;Fullcarga;LA PIRAMIDE;MONTEVIDEO 2531;RENCA;;342193;6304147;-70.6966925050505;-33.3902699414141
80044;Fullcarga;PAULA;LIBERTADOR BERNARDO OHIGGINS 108 ;SANTIAGO;;347898;6298998;-70.6368271353969;-33.4379212177902
80073;Fullcarga;SHELL CHILE - LA DEHESA;AV. LA DEHESA 457;LO BARNECHEA;;359105;6307496;-70.5149755942711;-33.3628270240306
80074;Fullcarga;SHELL CHILE - PEDRO AGUIRRE CERDA;AV. PEDRO AGUIRRE CERDA 4981;CERRILLOS;;342357;6293699;-70.6973440500445;-33.4848946887901
80417;Fullcarga;ROSALINO RIVERA PEREZ;LAURA RODRIGUEZ 345;LA REINA;;356834;6297202;-70.5404343939393;-33.4549468181818
80481;Fullcarga;ECOMARKET S;LOS MANUTARA 530;PUDAHUEL;;338353;6296594;-70.7400765337963;-33.4580877935827
80869;Fullcarga;SHELL CHILE - PATAGONIA;PATAGONIA 75;LAS CONDES;;356392;6302321;-70.54494346;-33.4091257
81724;Fullcarga;RODRIGO;CERRO NEVADO 1735 B;MAIPU;;338705;6292075;-70.7363466666667;-33.4985916666667
81770;Fullcarga;SHELL CHILE - VICUNA MACKENNA;AV. VICUNA MACKENNA 106;PROVIDENCIA;;348227;6298557;-70.6333624473611;-33.4419368770833
83061;Fullcarga;DONDE LA NANCY;ESTADIO QUILICURA 67;QUILICURA;;338167;6308555;-70.73917166666668;-33.349934761904755
83271;Fullcarga;MYM RENCA;DOMINGO SANTA MARIA 4148 L.2;RENCA;;341432;6302548;-70.7051661857688;-33.4046845221385
83454;Fullcarga;ANDREA - ANDRES;SIERRA BELLA 2025;SANTIAGO;;348293;6295276;-70.6332093678161;-33.4715346551724
83856;Fullcarga;DONDE LAS CHIQUILLAS JESSICA Y SILVIA;BURGOS 193;QUILICURA;;338634;6308190;-70.734225462963;-33.3532874074074
83913;Fullcarga;VILLA ALEGRE;COLO COLO 1240;CERRILLOS;;339819;6292246;-70.7243359564935;-33.497214686585
83990;Fullcarga;SONNY;DIAGONAL SANTIAGO 4635;ESTACION CENTRAL;;342328;6294539;-70.69694114717868;-33.47702808880444
84437;Fullcarga;APOLOGIA BAZAR;CERRO FIT ROY 9517;PUDAHUEL;;335453;6298925;-70.7700826333333;-33.43633705
84439;Fullcarga;MARIA MAGDALENA REYES PAD;PASAJE LOS YUYOS 6480;CERRO NAVIA;;339427;6299726;-70.72796904;-33.43000526
84451;Fullcarga;BOTILLERIA LA FORTUNA;GRAN AV. 8782;LA CISTERNA;;345511;6287987;-70.6638216666666;-33.5364472777777
84456;Fullcarga;VERONICA CECILIA GONZALEZ CARRASCO;ROSA ESTER RODRIGUEZ 7187;CERRILLOS;;339672;6293066;-70.7257736847849;-33.48991757708662
84469;Fullcarga;JOSE HERMIDA ARBUCH;LONGITUDINAL 3 701;INDEPENDENCIA;;344093;6301158;-70.6767977192982;-33.4174995614035
84813;Fullcarga;EBEN EZER - SAN RAMON;ESPERANZA 1297 LOC 1;SAN RAMON;;346693;6286515;-70.6519195333333;-33.5502888666667
85107;Fullcarga;MINIMARKET - CERRO NAVIA;RAUL SILVA HENRIQUEZ 1233;CERRO NAVIA;;339163;6299373;-70.73011004647434;-33.432862323557686
85918;Fullcarga;DON RAMON;RADAL 805;QUINTA NORMAL;;341820;6298233;-70.7023160997474;-33.4439364157197
86177;Fullcarga;ZORAIDA ROXANA ZEVALLOS HUANCA;AV. MATUCANA 873;ESTACION CENTRAL;;343862;6299257;-70.680357;-33.434875
86603;Fullcarga;LOS HENRIQUEZ;PASAJE EDUCACION 8430;CERRO NAVIA;;336315;6301222;-70.76040172222221;-33.41575888888888
86604;Fullcarga;JUAN PABLO MORENO VERA;NUEVA IMPERIAL 4305;QUINTA NORMAL;;342639;6298160;-70.6935877605865;-33.4446070934453
86772;Fullcarga;JOSE SANCHEZ;AV. PEDRO DE VALDIVIA 3462 13 - A;NUNOA;;350921;6297189;-70.6047988;-33.454542
86775;Fullcarga;ETIENNE;LOS RAULIES 11539;EL BOSQUE;;345243;6284354;-70.66734349985859;-33.569275112802224
86947;Fullcarga;ALMACEN LA ITA;LUIS MATTE LARRAIN 01985;PUENTE ALTO;;355303;6282762;-70.55923660714286;-33.58492940476191
86978;Fullcarga;ALMACEN TOTO;LOS COPIHUES 6550;LO PRADO;;339401;6298643;-70.7276950332177;-33.4395912652514
87106;Fullcarga;BAZAR-MAIPU;PARQUE  CENTRAL PONIENTE 1189 - A;MAIPU;;334212;6284995;-70.7860125;-33.56172416666665
87365;Fullcarga;ISACI;AV. INDEPENDENCIA 1688;INDEPENDENCIA;;345723;6301842;-70.65915945390462;-33.411678911095215
87775;Fullcarga;PROVISIONES OLGUITA RECOL;LA VALLEJA 4091;RECOLETA;;346263;6304876;-70.65359252;-33.38457392
87777;Fullcarga;MARINA CORREA;LOS JILGUEROS 2148;HUECHURABA;;342789;6307808;-70.689651;-33.35735359
87802;Fullcarga;SANTA OLGA;AURORA DE CHILE 2437;INDEPENDENCIA;;344311;6301687;-70.67511298;-33.41304471
87926;Fullcarga;LA FAMILIA;PADRE JAIME LARRAIN 7 A;ESTACION CENTRAL;;342213;6296231;-70.6985782133289;-33.461998008532
87968;Fullcarga;TERESA TORRES PEREZ;LOS ESPINOS 3401;MACUL;;351668;6294685;-70.59641995619;-33.4769285437762
88145;Fullcarga;FERNANDA - LA GRANJA;JOAQUIN EDWARD BELLO 9939;LA GRANJA;;349141;6286572;-70.62497404078047;-33.54972930222141
88188;Fullcarga;LIBRERIA JIT VITACURA;PRESIDENTE KENNEDY 7946;VITACURA;;355519;6304245;-70.5534623148722;-33.3913782111783
88189;Fullcarga;MARTINA;SIMON BOLIVAR 4444;MAIPU;;339873;6294822;-70.7232939583333;-33.4739939583333
88190;Fullcarga;DONDE MATI;PARAGUAY 5147;ESTACION CENTRAL;;341462;6297556;-70.7057213856583;-33.4497017939226
88192;Fullcarga;KIOSKO BIP VITACURA LAS U;AV. VITACURA 9275;VITACURA;;356190;6305301;-70.5468315614861;-33.3822622500193
88196;Fullcarga;KIOSCO PUEBLO JUPLEI;VITACURA FRENTE AL 6260;VITACURA;;353890;6304380;-70.5714928152851;-33.3900189575329
88201;Fullcarga;EL NEGOCIO;RADAL 054;ESTACION CENTRAL;;341883;6296902;-70.7012988892592;-33.4555444448148
88205;Fullcarga;RAUL LEIVA;LOS ARBITROS 4652;ESTACION CENTRAL;;340580;6294510;-70.7163170958133;-33.47715296663
88206;Fullcarga;LOS SOCIOS EST CENTRAL;AV. 5 DE ABRIL 5493 D12;ESTACION CENTRAL;;340729;6295462;-70.71326698;-33.46860798
88218;Fullcarga;CONFITERIA Y CAFETERIA SN;AV. SANTA ROSA 4389;SAN MIGUEL;;347665;6292326;-70.6398872222222;-33.4976408333333
88219;Fullcarga;ANGEMAR 13 SN MIGUEL;VARAS MENA 551;SAN MIGUEL;;347694;6290752;-70.64060504;-33.51211963
88220;Fullcarga;JACQUELINE ANGELICA CHAMO;ANDACOLLO 216;LA REINA;;357253;6297335;-70.5365665594056;-33.454013974745
88224;Fullcarga;FRANCISCO JAVIER GONZALEZ;SANTO TOMAS 500;LA GRANJA;;349236;6285691;-70.6241036385455;-33.5576789175267
88227;Fullcarga;JOVI LA GRANJA;CREPUSCULARIO 9951;LA GRANJA;;349078;6286557;-70.62641673;-33.55013832
88228;Fullcarga;JUAN CABELLO;AV. LA SERENA 8286 31;LA GRANJA;;349591;6287993;-70.62064857;-33.53727019
88229;Fullcarga;DON REMI CERRILLOS;CALLE LA PRIMAVERA 930;CERRILLOS;;339003;6291038;-70.7340933113409;-33.5082795458454
88231;Fullcarga;SANTA ELENA LA GRANJA;PADRE ANTONIO JUPNERK 0297;LA GRANJA;;348644;6286924;-70.630266147619;-33.5464857904761
